second_pass_family,left_field,left_family,right_field,right_family,left_transform,right_transform,operator,blueprint_id
H0_I3_deconcentration,global_long_short_account_ratio_last,positioning,premium_abs_168h,basis_premium,spread_short_long,zscore_72h,Mul,core16he_H0_I3_deconcentration_global_long_short_account_ratio_last_spread_short_long_Mul_premium_abs_168h_zscore_72h
H0_I3_deconcentration,global_long_short_account_ratio_last,positioning,premium_abs_168h,basis_premium,spread_short_long,zscore_72h,SafeDiv,core16he_H0_I3_deconcentration_global_long_short_account_ratio_last_spread_short_long_SafeDiv_premium_abs_168h_zscore_72h
H0_I3_deconcentration,global_long_short_account_ratio_last,positioning,premium_abs_168h,basis_premium,zscore_168h,delta_24h,Sub,core16he_H0_I3_deconcentration_global_long_short_account_ratio_last_zscore_168h_Sub_premium_abs_168h_delta_24h
H0_I3_deconcentration,global_long_short_account_ratio_last,positioning,premium_abs_168h,basis_premium,zscore_168h,delta_24h,Mul,core16he_H0_I3_deconcentration_global_long_short_account_ratio_last_zscore_168h_Mul_premium_abs_168h_delta_24h
H0_I3_deconcentration,global_long_short_account_ratio_last,positioning,premium_abs_168h,basis_premium,zscore_168h,delta_24h,SafeDiv,core16he_H0_I3_deconcentration_global_long_short_account_ratio_last_zscore_168h_SafeDiv_premium_abs_168h_delta_24h
H0_I3_deconcentration,global_long_short_account_ratio_last,positioning,premium_abs_168h,basis_premium,zscore_168h,shock_24h,Sub,core16he_H0_I3_deconcentration_global_long_short_account_ratio_last_zscore_168h_Sub_premium_abs_168h_shock_24h
H0_I3_deconcentration,global_long_short_account_ratio_last,positioning,premium_abs_168h,basis_premium,zscore_168h,shock_24h,Mul,core16he_H0_I3_deconcentration_global_long_short_account_ratio_last_zscore_168h_Mul_premium_abs_168h_shock_24h
H0_I3_deconcentration,global_long_short_account_ratio_last,positioning,premium_abs_168h,basis_premium,zscore_168h,shock_24h,SafeDiv,core16he_H0_I3_deconcentration_global_long_short_account_ratio_last_zscore_168h_SafeDiv_premium_abs_168h_shock_24h
H0_I3_deconcentration,global_long_short_account_ratio_last,positioning,premium_abs_168h,basis_premium,zscore_168h,zscore_72h,Sub,core16he_H0_I3_deconcentration_global_long_short_account_ratio_last_zscore_168h_Sub_premium_abs_168h_zscore_72h
H0_I3_deconcentration,global_long_short_account_ratio_last,positioning,premium_abs_168h,basis_premium,zscore_168h,zscore_72h,Mul,core16he_H0_I3_deconcentration_global_long_short_account_ratio_last_zscore_168h_Mul_premium_abs_168h_zscore_72h
H0_I3_deconcentration,global_long_short_account_ratio_last,positioning,premium_abs_168h,basis_premium,zscore_168h,zscore_72h,SafeDiv,core16he_H0_I3_deconcentration_global_long_short_account_ratio_last_zscore_168h_SafeDiv_premium_abs_168h_zscore_72h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,trade_return_1h,price_return,spread_short_long,delta_24h,Sub,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_spread_short_long_Sub_trade_return_1h_delta_24h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,trade_return_1h,price_return,spread_short_long,delta_24h,Mul,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_spread_short_long_Mul_trade_return_1h_delta_24h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,trade_return_1h,price_return,spread_short_long,delta_24h,SafeDiv,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_spread_short_long_SafeDiv_trade_return_1h_delta_24h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,trade_return_1h,price_return,spread_short_long,shock_24h,Sub,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_spread_short_long_Sub_trade_return_1h_shock_24h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,trade_return_1h,price_return,spread_short_long,shock_24h,Mul,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_spread_short_long_Mul_trade_return_1h_shock_24h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,trade_return_1h,price_return,spread_short_long,shock_24h,SafeDiv,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_spread_short_long_SafeDiv_trade_return_1h_shock_24h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,trade_return_1h,price_return,spread_short_long,zscore_72h,Sub,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_spread_short_long_Sub_trade_return_1h_zscore_72h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,trade_return_1h,price_return,spread_short_long,zscore_72h,Mul,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_spread_short_long_Mul_trade_return_1h_zscore_72h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,trade_return_1h,price_return,spread_short_long,zscore_72h,SafeDiv,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_spread_short_long_SafeDiv_trade_return_1h_zscore_72h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,trade_return_1h,price_return,zscore_168h,delta_24h,Sub,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_zscore_168h_Sub_trade_return_1h_delta_24h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,trade_return_1h,price_return,zscore_168h,delta_24h,Mul,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_zscore_168h_Mul_trade_return_1h_delta_24h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,trade_return_1h,price_return,zscore_168h,delta_24h,SafeDiv,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_zscore_168h_SafeDiv_trade_return_1h_delta_24h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,trade_return_1h,price_return,zscore_168h,shock_24h,Sub,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_zscore_168h_Sub_trade_return_1h_shock_24h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,trade_return_1h,price_return,zscore_168h,shock_24h,Mul,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_zscore_168h_Mul_trade_return_1h_shock_24h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,trade_return_1h,price_return,zscore_168h,shock_24h,SafeDiv,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_zscore_168h_SafeDiv_trade_return_1h_shock_24h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,trade_return_1h,price_return,zscore_168h,zscore_72h,Sub,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_zscore_168h_Sub_trade_return_1h_zscore_72h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,trade_return_1h,price_return,zscore_168h,zscore_72h,Mul,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_zscore_168h_Mul_trade_return_1h_zscore_72h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,trade_return_1h,price_return,zscore_168h,zscore_72h,SafeDiv,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_zscore_168h_SafeDiv_trade_return_1h_zscore_72h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,trade_return_24h,price_return,spread_short_long,delta_24h,Sub,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_spread_short_long_Sub_trade_return_24h_delta_24h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,trade_return_24h,price_return,spread_short_long,delta_24h,Mul,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_spread_short_long_Mul_trade_return_24h_delta_24h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,trade_return_24h,price_return,spread_short_long,delta_24h,SafeDiv,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_spread_short_long_SafeDiv_trade_return_24h_delta_24h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,trade_return_24h,price_return,spread_short_long,shock_24h,Sub,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_spread_short_long_Sub_trade_return_24h_shock_24h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,trade_return_24h,price_return,spread_short_long,shock_24h,Mul,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_spread_short_long_Mul_trade_return_24h_shock_24h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,trade_return_24h,price_return,spread_short_long,shock_24h,SafeDiv,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_spread_short_long_SafeDiv_trade_return_24h_shock_24h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,trade_return_24h,price_return,spread_short_long,zscore_72h,Sub,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_spread_short_long_Sub_trade_return_24h_zscore_72h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,trade_return_24h,price_return,spread_short_long,zscore_72h,Mul,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_spread_short_long_Mul_trade_return_24h_zscore_72h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,trade_return_24h,price_return,spread_short_long,zscore_72h,SafeDiv,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_spread_short_long_SafeDiv_trade_return_24h_zscore_72h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,trade_return_24h,price_return,zscore_168h,delta_24h,Sub,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_zscore_168h_Sub_trade_return_24h_delta_24h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,trade_return_24h,price_return,zscore_168h,delta_24h,Mul,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_zscore_168h_Mul_trade_return_24h_delta_24h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,trade_return_24h,price_return,zscore_168h,delta_24h,SafeDiv,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_zscore_168h_SafeDiv_trade_return_24h_delta_24h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,trade_return_24h,price_return,zscore_168h,shock_24h,Sub,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_zscore_168h_Sub_trade_return_24h_shock_24h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,trade_return_24h,price_return,zscore_168h,shock_24h,Mul,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_zscore_168h_Mul_trade_return_24h_shock_24h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,trade_return_24h,price_return,zscore_168h,shock_24h,SafeDiv,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_zscore_168h_SafeDiv_trade_return_24h_shock_24h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,trade_return_24h,price_return,zscore_168h,zscore_72h,Sub,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_zscore_168h_Sub_trade_return_24h_zscore_72h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,trade_return_24h,price_return,zscore_168h,zscore_72h,Mul,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_zscore_168h_Mul_trade_return_24h_zscore_72h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,trade_return_24h,price_return,zscore_168h,zscore_72h,SafeDiv,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_zscore_168h_SafeDiv_trade_return_24h_zscore_72h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,premium_close_bps,basis_premium,spread_short_long,delta_24h,Sub,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_spread_short_long_Sub_premium_close_bps_delta_24h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,premium_close_bps,basis_premium,spread_short_long,delta_24h,Mul,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_spread_short_long_Mul_premium_close_bps_delta_24h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,premium_close_bps,basis_premium,spread_short_long,delta_24h,SafeDiv,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_spread_short_long_SafeDiv_premium_close_bps_delta_24h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,premium_close_bps,basis_premium,spread_short_long,shock_24h,Sub,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_spread_short_long_Sub_premium_close_bps_shock_24h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,premium_close_bps,basis_premium,spread_short_long,shock_24h,Mul,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_spread_short_long_Mul_premium_close_bps_shock_24h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,premium_close_bps,basis_premium,spread_short_long,shock_24h,SafeDiv,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_spread_short_long_SafeDiv_premium_close_bps_shock_24h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,premium_close_bps,basis_premium,spread_short_long,zscore_72h,Sub,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_spread_short_long_Sub_premium_close_bps_zscore_72h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,premium_close_bps,basis_premium,spread_short_long,zscore_72h,Mul,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_spread_short_long_Mul_premium_close_bps_zscore_72h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,premium_close_bps,basis_premium,spread_short_long,zscore_72h,SafeDiv,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_spread_short_long_SafeDiv_premium_close_bps_zscore_72h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,premium_close_bps,basis_premium,zscore_168h,delta_24h,Sub,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_zscore_168h_Sub_premium_close_bps_delta_24h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,premium_close_bps,basis_premium,zscore_168h,delta_24h,Mul,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_zscore_168h_Mul_premium_close_bps_delta_24h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,premium_close_bps,basis_premium,zscore_168h,delta_24h,SafeDiv,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_zscore_168h_SafeDiv_premium_close_bps_delta_24h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,premium_close_bps,basis_premium,zscore_168h,shock_24h,Sub,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_zscore_168h_Sub_premium_close_bps_shock_24h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,premium_close_bps,basis_premium,zscore_168h,shock_24h,Mul,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_zscore_168h_Mul_premium_close_bps_shock_24h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,premium_close_bps,basis_premium,zscore_168h,shock_24h,SafeDiv,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_zscore_168h_SafeDiv_premium_close_bps_shock_24h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,premium_close_bps,basis_premium,zscore_168h,zscore_72h,Sub,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_zscore_168h_Sub_premium_close_bps_zscore_72h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,premium_close_bps,basis_premium,zscore_168h,zscore_72h,Mul,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_zscore_168h_Mul_premium_close_bps_zscore_72h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,premium_close_bps,basis_premium,zscore_168h,zscore_72h,SafeDiv,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_zscore_168h_SafeDiv_premium_close_bps_zscore_72h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,mark_index_basis_bps,basis_premium,spread_short_long,delta_24h,Sub,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_spread_short_long_Sub_mark_index_basis_bps_delta_24h
H0_I3_deconcentration,top_long_short_account_ratio_last,positioning,mark_index_basis_bps,basis_premium,spread_short_long,delta_24h,Mul,core16he_H0_I3_deconcentration_top_long_short_account_ratio_last_spread_short_long_Mul_mark_index_basis_bps_delta_24h
